dataset,model,params,policy,accuracy,precision,recall,f1-score,training-time(s)
mnist,resnet,23585290,1,0.9914,0.9915506223423559,0.9912900184410374,0.9913942895629555,913.7781012
mnist,resnet,23585290,2,0.9937,0.9938144455602691,0.9936353070956294,0.993714032569024,1391.5774146000003
mnist,resnet,23585290,3,0.9874,0.9873104995929367,0.9873506211202934,0.9873142541669802,851.9330819000002
mnist,resnet,23585290,4,0.993,0.99305251143379,0.9928868189698198,0.9929602650834563,1731.2590655999998
mnist,resnet,23585290,5,0.9894,0.989502906460487,0.9892751177562553,0.989329201181844,1425.0480361
