dataset,model,params,policy,accuracy,precision,recall,f1-score,training-time(s)
fmnist,resnet,23585290,1,0.8985,0.9001561350419897,0.8985000000000001,0.8967629860494817,752.5166474
fmnist,resnet,23585290,2,0.9266,0.9279232962023956,0.9266,0.9269277260393265,1300.3425708
fmnist,resnet,23585290,3,0.8267,0.8289468686317575,0.8267000000000001,0.8206314107593968,690.7694171000003
fmnist,resnet,23585290,4,0.9159,0.9170344254537456,0.9158999999999999,0.9162160543488987,1587.4086346999998
fmnist,resnet,23585290,5,0.85,0.8582149737815369,0.85,0.8517509485918531,970.1328529000002
