loss,accuracy,val_loss,val_accuracy,lr,policy
1.399056911,0.539488912,1.080176473,0.649399996,1.00E-04,1
0.478489101,0.839933336,0.640135169,0.789799988,1.00E-04,1
0.184240013,0.942933321,0.530683815,0.824999988,1.00E-04,1
0.062572077,0.984155536,0.570527315,0.83160001,1.00E-04,1
0.024526116,0.994733334,0.636917293,0.832000017,1.00E-04,1
0.012540597,0.997577786,0.695751786,0.834800005,1.00E-04,1
0.006633386,0.99897778,0.753653824,0.83160001,1.00E-04,1
0.005713427,0.99888891,0.816599131,0.833000004,1.00E-04,1
0.006716693,0.998355567,0.801232636,0.837199986,1.00E-04,1
0.016030367,0.995022237,0.852979779,0.836600006,1.00E-04,1
0.053220686,0.981622219,0.857641101,0.824400008,1.00E-04,1
0.061145954,0.979444444,0.771885157,0.836000025,1.00E-04,1
0.030996272,0.990444422,0.721592844,0.847800016,1.00E-04,1
0.009814349,0.997333348,0.723666608,0.847599983,5.00E-05,1
0.003230921,0.99940002,0.723190844,0.850799978,5.00E-05,1
0.001868221,0.999777794,0.738703489,0.850799978,5.00E-05,1
0.001274739,0.999800026,0.747504175,0.850600004,5.00E-05,1
0.000774468,1,0.766410053,0.852999985,5.00E-05,1
0.000732148,0.999955535,0.774953544,0.854200006,5.00E-05,1
0.000520884,0.999977767,0.78367883,0.853999972,5.00E-05,1
0.000488845,0.999977767,0.789943874,0.853200018,5.00E-05,1
0.000573109,0.999933362,0.794044077,0.853799999,5.00E-05,1
0.000421895,0.999933362,0.809795976,0.853799999,5.00E-05,1
0.000297308,0.999977767,0.81287533,0.855599999,2.50E-05,1
0.000334005,0.999955535,0.812807798,0.855599999,2.50E-05,1
0.000299566,0.999955535,0.818360865,0.854799986,2.50E-05,1
0.000259965,0.999977767,0.82265842,0.855799973,2.50E-05,1
0.000240088,1,0.825881064,0.8574,2.50E-05,1
0.000200371,1,0.829074621,0.8574,2.50E-05,1
0.000185793,1,0.831372857,0.85680002,2.50E-05,1
0.000217206,1,0.834322751,0.855400026,2.50E-05,1
0.000185737,1,0.833875,0.855799973,2.50E-05,1
0.000214338,0.999955535,0.83491379,0.856599987,2.50E-05,1
0.000185385,0.999977767,0.837899029,0.854600012,1.25E-05,1
0.000172602,0.999977767,0.83790195,0.855000019,1.25E-05,1
0.000149857,1,0.840486348,0.855599999,1.25E-05,1
0.000156772,0.999977767,0.841460526,0.856999993,1.25E-05,1
0.000150165,0.999977767,0.843142509,0.8574,1.25E-05,1
0.000238126,0.999977767,0.850072563,0.85619998,1.25E-05,1
0.000133466,1,0.849816799,0.856599987,1.25E-05,1
0.000111293,1,0.849581361,0.85619998,1.25E-05,1
0.000151489,1,0.851071,0.85619998,1.25E-05,1
0.000129299,0.999977767,0.853096306,0.853999972,1.25E-05,1
1.619871736,0.447022229,1.291276574,0.557200015,1.00E-04,2
0.963801324,0.673577785,0.748302341,0.757799983,1.00E-04,2
0.78573674,0.732822239,0.571861386,0.806999981,1.00E-04,2
0.656562746,0.776533306,0.500983775,0.831200004,1.00E-04,2
0.622314334,0.788888872,0.461896986,0.846400023,1.00E-04,2
0.57953012,0.805088878,0.422205031,0.85860002,1.00E-04,2
0.555516183,0.809644461,0.420864075,0.856599987,1.00E-04,2
