dataset,model,params,policy,accuracy,precision,recall,f1-score,training-time(s)
cifar10,resnet,23585290,1,0.7339,0.747563483,0.7339,0.735809155,617.3278363
cifar10,resnet,23585290,2,0.8517,0.853504714,0.8517,0.852274908,1415.693934
cifar10,resnet,23585290,3,0.6286,0.635144122,0.6286,0.62579911,587.1025279
cifar10,resnet,23585290,4,0.7671,0.775926184,0.7671,0.768329709,1222.094348
cifar10,resnet,23585290,5,0.6915,0.700593778,0.6915,0.693666807,960.2191472
