dataset,model,params,policy,accuracy,precision,recall,f1-score,training-time(s)
mnist,inception,21823274,1,0.9943,0.994366541,0.994220513,0.99428266,1780.827937
mnist,inception,21823274,2,0.9958,0.995887554,0.995739597,0.995806524,3200.916513
mnist,inception,21823274,3,0.9892,0.989365655,0.98909824,0.989204745,1851.910189
mnist,inception,21823274,4,0.9956,0.995649228,0.995510227,0.995576608,3422.398449
mnist,inception,21823274,5,0.9911,0.991127154,0.991078748,0.991076213,2023.707896
