dataset,model,params,policy,accuracy,precision,recall,f1-score,training-time(s)
fmnist,inception,21823274,1,0.9167,0.9166002565677788,0.9167,0.9163065715369575,1643.112456
fmnist,inception,21823274,2,0.9482,0.9484471378583861,0.9481999999999999,0.9482232722092595,2471.1005794000002
fmnist,inception,21823274,3,0.8527,0.8594981250871484,0.8526999999999999,0.8542930529554896,1542.8765789999998
fmnist,inception,21823274,4,0.9353,0.936366691394966,0.9353,0.9350124940160123,3216.6361394999994
fmnist,inception,21823274,5,0.8825,0.8831258746254358,0.8825,0.8820760238224397,1842.8901244999997
